Bremen Mackensenweg,53.090624,8.90569,02:54:43,2024-02-28,night,35,35,0,,,
Bremen Margaretenallee,53.178992,8.594592,02:54:43,2024-02-28,night,53,53,0,,,
Bremen Hexenstieg,53.037864,8.944647,02:54:43,2024-02-28,night,45,45,0,,,
Bremen Fultonstraße,53.114441,8.89599,02:54:43,2024-02-28,night,47,47,0,,,
Bremen Bahnhof Kreinsloger,53.189963,8.558304,02:54:43,2024-02-28,night,47,47,0,,,
Bremen Ludwig-Quidde-Straße,53.067635,8.862488,02:54:43,2024-02-28,night,33,33,0,,,
Bremen Am Siek,53.063183,8.943653,02:54:43,2024-02-28,night,39,39,0,,,
Bremen Am Querkamp,53.095439,8.929975,02:54:43,2024-02-28,night,46,46,0,,,
Bremen Machandelweg,53.188245,8.629329,02:54:43,2024-02-28,night,42,42,0,,,
Bremen Am Sodenmatt,53.045803,8.718782,02:54:43,2024-02-28,night,34,34,0,,,
Bremen-Blumenthal Markt,53.181419,8.573693,02:54:43,2024-02-28,night,48,48,0,,,
Bremen Borchsholt,53.18305,8.634595,02:54:43,2024-02-28,night,36,36,0,,,
Bremen Kurt-Huber-Straße,53.078187,8.911485,02:54:43,2024-02-28,night,89,89,0,,,
Bremen Am Hallacker,53.068003,8.933838,02:54:43,2024-02-28,night,36,36,0,,,
Bremen Am Kapellenberg,53.164231,8.666018,02:54:43,2024-02-28,night,46,46,0,,,
Bremen Bahnhof Farge,53.205563,8.518154,02:54:43,2024-02-28,night,50,50,0,,,
Bremen Blumenhorster Straße,53.184611,8.604506,02:54:43,2024-02-28,night,49,49,0,,,
Bremen Upsalastraße,53.176795,8.717168,02:54:43,2024-02-28,night,77,77,0,,,
Bremen Weserwehr,53.063491,8.867964,02:54:43,2024-02-28,night,40,40,0,,,
Bremen Bei den Drei Pfählen,53.07121,8.85063,02:54:43,2024-02-28,night,28,28,0,,,
Bremen Höpkens Ruh,53.09323,8.933031,02:54:43,2024-02-28,night,44,44,0,,,
Bremen Umspannwerk,53.107559,8.817532,02:54:43,2024-02-28,night,38,38,0,,,
