"from_stop_id","to_stop_id","transfer_type","min_transfer_time","from_route_id","to_route_id","from_trip_id","to_trip_id"
000008001390,000008001390,2,240,,,,
000008001394,000008001394,2,300,,,,
000008005182,000008005182,2,300,,,,
000000847451,000000847451,2,120,,,,
000000840106,000000840106,2,180,,,,
000000840107,000000840107,2,180,,,,
000008003788,000008003788,2,300,,,,
000000847452,000000847452,2,120,,,,
000000847450,000000847450,2,120,,,,
000000846122,000000846122,2,120,,,,
000000846121,000000846121,2,120,,,,
000000831165,000000831165,2,120,,,,
000000831162,000000831162,2,120,,,,
000000846128,000000846128,2,120,,,,
000000831161,000000831161,2,120,,,,
000008003780,000008003780,2,300,,,,
000008003784,000008003784,2,300,,,,
000008001713,000008001713,2,300,,,,
000008000089,000008000089,2,240,,,,
000008000080,000008000080,2,420,,,,
000008000085,000008000085,2,480,,,,
000008001675,000008001675,2,300,,,,
000008000086,000008000086,2,420,,,,
000008005507,000008005507,2,300,,,,
000000831045,000000831045,2,120,,,,
000000831040,000000831040,2,120,,,,
000000831041,000000831041,2,120,,,,
000000846126,000000846126,2,120,,,,
000000846127,000000846127,2,120,,,,
000000846124,000000846124,2,120,,,,
000000844724,000000844724,2,120,,,,
000000844722,000000844722,2,120,,,,
000000844723,000000844723,2,120,,,,
000000844720,000000844720,2,120,,,,
000000844721,000000844721,2,120,,,,
000000846360,000000846360,2,120,,,,
000000846361,000000846361,2,120,,,,
000008000169,000008000169,2,360,,,,
000000846244,000000846244,2,120,,,,
000000846243,000000846243,2,120,,,,
000008000162,000008000162,2,300,,,,
000000846240,000000846240,2,120,,,,
000000846241,000000846241,2,120,,,,
000008000163,000008000163,2,180,,,,
000000846249,000000846249,2,120,,,,
000008000164,000008000164,2,240,,,,
000008002830,000008002830,2,300,,,,
000008000961,000008000961,2,300,,,,
000008003410,000008003410,2,300,,,,
000008001543,000008001543,2,240,,,,
000008001545,000008001545,2,300,,,,
000008003772,000008003772,2,300,,,,
000008000846,000008000846,2,300,,,,
000008001318,000008001318,2,300,,,,
000000847830,000000847830,2,120,,,,
000000846246,000000846246,2,120,,,,
000000846247,000000846247,2,120,,,,
000000845119,000000845119,2,120,,,,
