"stop_name","line"
"Bremen Waller Friedhof","10E"
"Bremen Am Dobben","10E"
"Bremen Haferkamp","10E"
"Bremen Hauptbahnhof","10E"
"Bremen Humboldtstraße","10E"
"Bremen Utbremer Straße","10E"
"Bremen Doventorsteinweg","10E"
"Bremen Rembertistraße","10E"
"Bremen Gustavstraße","10E"
"Bremen Bahnhof Walle","10E"
"Bremen Rembertistraße","1E"
"Bremen Gustavstraße","1E"
"Bremen Wartburgstraße","1E"
"Bremen Arsten","1E"
"Bremen Wilhelm-Kaisen-Brücke","1E"
"Lilienthal Kutscher Behrens","1E"
"Lilienthal Auf dem Kamp","1E"
"Bremen Kurfürstenallee","1E"
"Bremen Doventorsteinweg","1E"
"Bremen Pappelstraße","1E"
"Bremen Metzer Straße","1E"
"Bremen Dietrich-Bonhoeffer-Straße","1E"
"Bremen Wilhelm-Leuschner-Straße","1E"
"Bremen Georg-Bitter-Straße","1E"
"Bremen Duckwitzstraße","1E"
"Bremen Focke-Museum","1E"
"Bremen Kattenturm-Mitte","1E"
"Bremen Tenever-Zentrum","1E"
"Bremen Theater am Goetheplatz","1E"
"Bremen Theater am Leibnizplatz","1E"
"Bremen Brunnenstraße","1E"
"Bremen Humboldtstraße","1E"
"Bremen Horn (Horner Kirche)","1E"
"Bremen Roland-Center","1E"
"Bremen Erkelenzer Straße","1E"
"Bremen Huckelriede","1E"
"Bremen Schüsselkorb","1E"
"Bremen BSAG-Zentrum","1E"
"Bremen Weserpark-Süd","1E"
"Bremen Herdentor","1E"
"Bremen Am Dammacker","1E"
"Bremen Werner-Steenken-Straße","1E"
"Bremen Am Wall","1E"
"Bremen St.-Jürgen-Straße","1E"
"Bremen Waller Straße","1E"
"Bremen wohninvest WESERSTADION","1E"
"Bremen Am Brill (Bgm.-Smidt-Straße)","1E"
"Bremen Julius-Brecht-Allee","1E"
"Bremen Teneverstraße","1E"
"Bremen Engadiner Straße","1E"
"Bremen Nußhorn","1E"
"Bremen Hollerallee","1E"
"Bremen Rotes-Kreuz-Krankenhaus","1E"
"Bremen Utbremer Straße","1E"
"Bremen Peter-Henlein-Straße","1E"
"Bremen Am Dobben","1E"
"Bremen Kopernikusstraße","1E"
"Bremen Gastfeldstraße","1E"
"Bremen Hochschule Bremen","1E"
"Bremen Friedhofstraße","1E"
