stop_id,stop_name,stop_lat,stop_lon
9013877,Bremen Friedrich-Stampfer-Straße,53.086218,8.891447
9013708,Bremen An den Wühren,53.103655,8.902444
9013706,Bremen Amselweg,53.108065,8.796979
9013902,Bremen Grenzstraße,53.091181,8.781796
9013673,Bremen Allerkai,53.056754,8.877859
9013672,Bremen Alfred-Faust-Straße,53.029962,8.823292
9013674,Bremen Altenescher Straße,53.110403,8.769908
9013763,Bremen Betonstraße,53.203363,8.524038
9013762,Bremen Besanstraße,53.189418,8.566792
9014140,Bremen Rekumer Siel,53.218184,8.509509
9014172,Bremen Schneverdinger Straße,53.076633,8.880817
9014170,Bremen Schlengstraße,53.049696,8.892448
9014169,Bremen Schleiermacherstraße,53.063745,8.789421
9014168,Bremen Schevemoorer Landstraße,53.077599,8.94024
9014198,Bremen Sollingstraße,53.042111,8.9124
9014195,Bremen Simon-Hermann-Post-Weg,53.090669,8.92496
9014193,Bremen Sielwall,53.07075,8.82349
9013746,Bremen Bahnhof Turnerstraße,53.193991,8.545544
9014226,Bremen Stuttgarter Straße,53.097205,8.816292
9013828,Bremen Dobbheide,53.191307,8.631397
9013827,Bremen Dobbenweg,53.078669,8.826308
9013826,Bremen Dithmarscher Freiheit,53.102444,8.799509
9013824,Bremen Dillener Park,53.188391,8.547833
9013829,Bremen Dohlenstraße,53.135314,8.73091
9013901,Bremen Gravestraße,53.090592,8.911317
9013900,Bremen Graubündener Straße,53.071396,8.949386
9013899,Bremen Grasberger Straße,53.108644,8.763679
9013905,Bremen Gröpelingen,53.120574,8.753003
9014265,Bremen Bahnhof Walle,53.102536,8.785338
9014069,Bremen Mercedes-Benz Tor 8,53.065007,8.914263
9013736,Bremen-Burg(Bus),53.16061,8.704381
9014218,Bremen Steubenstraße,53.071445,8.863627
9013823,Bremen Dietrich-Bonhoeffer-Straße,53.078614,8.903285
9013896,Bremen Goosestraße,53.110451,8.757192
9014177,Bremen Schwankhalle,53.064971,8.806553
9013894,Bremen Glockenstraße/Bf Hemelingen,53.055964,8.888368
9013897,Bremen Gottfried-Menken-Straße,53.062116,8.801724
9014087,Bremen Mülheimer Straße,53.074913,8.925897
9013711,Bremen An der Lehmkuhle,53.193711,8.566023
9014084,Bremen Mühlenfeldstraße,53.089905,8.93411
9013962,Bremen Hohweg,53.11159,8.797908
9014040,Bremen Lise-Meitner-Straße,53.103608,8.855622
9013665,Bremen Achterdiek,53.089206,8.900648
9014082,Bremen Munte,53.10478,8.840919
9013667,Bremen Agnes-Heineken-Straße,53.038759,8.832342
9013759,Bremen Berliner Freiheit,53.079384,8.893002
9013758,Bremen Bennigsenstraße,53.070355,8.856131
9013756,Bremen Beim Kleinen Tagwerk,53.09658,8.909506
9013755,Bremen Beim Bohnenhof,53.051383,8.949641
9013761,Bremen Berufsbildungswerk,53.102639,8.859212
9082657,Schwanewede Insterburger Weg,53.219785,8.589594
9014031,Bremen Landrat-Berthold-Straße,53.197066,8.571969
9014150,Bremen Ringofenstraße,53.207153,8.578497
9014305,Bremen Wätjens Park,53.17999,8.588774
9013883,Bremen Fährgrund,53.175321,8.612803
9013781,Bremen Bremer Vulkan,53.177414,8.601612
9013747,Bremen Bahnhof Vegesack,53.169621,8.627897
9014191,Bremen Senator-Theil-Straße,53.037688,8.851272
9014171,Bremen Schloßparkstraße,53.059187,8.897044
9014192,Bremen Sielhof,53.048787,8.820188
9014217,Bremen Stenumer Straße,53.054889,8.814727
9014216,Bremen Stellichter Straße,53.071641,8.882724
9013821,Bremen Deliusweg,53.089179,8.892313
9013820,Bremen Delfter Straße,53.043866,8.723196
9013840,Bremen Egestorff-Stiftung,53.057474,8.954588
9013838,Bremen Düsseldorfer Straße,53.073339,8.930294
9013836,Bremen Duckwitzstraße,53.065002,8.779216
9013835,Bremen Hüttenhafen,53.131649,8.722021
9013841,Bremen Eggestedter Straße,53.191589,8.561986
9013861,Bremen Findorffallee,53.090284,8.813487
9013859,Bremen Fellendsweg,53.051538,8.839582
9014135,Bremen Radio Bremen/VHS,53.080968,8.796789
9013881,Bremen Fähre Farge,53.199224,8.526993
9014081,Bremen Morsumer Straße,53.02783,8.818821
9014078,Bremen Moorstraße,53.11303,8.764801
9013687,Bremen Am Geestkamp,53.147399,8.711405
9013685,Bremen Am Fuchsberg,53.129774,8.743113
9014083,Bremen Müdener Straße,53.074036,8.875811
9013689,Bremen Am Großen Kuhkamp,53.048153,8.950356
9013684,Bremen Am Fillerkamp,53.198973,8.5539
9014152,Bremen Robert-Koch-Straße,53.043,8.824685
9014157,Bremen Rosenpfad,53.058651,8.812935
9014234,Bremen Theater am Goetheplatz,53.072382,8.816868
9014283,Bremen Weserpark-Süd,53.046294,8.957571
9014236,Bremen Theodor-Heuss-Allee,53.088125,8.808212
9014012,Bremen Knoops Park,53.165632,8.67699
9014010,Bremen Kluvenhagener Straße,53.038307,8.939628
9014004,Bremen Kleine Marschstraße,53.040635,8.883995
9014227,Bremen Süntelstraße,53.039767,8.908775
9014243,Bremen Universität-Nord,53.11064,8.854691
9014003,Bremen Kirchweg,53.062306,8.810167
9013999,Bremen Kattenturm-Mitte,53.035323,8.826916
9013832,Bremen Doventor,53.083948,8.797781
9013831,Bremen Dortmunder Straße,53.059135,8.778001
9013833,Bremen Doventorsteinweg,53.085002,8.799072
9013882,Bremen Fährer Kämpe,53.184281,8.613111
9013880,Bremen Fähre Blumenthal,53.183148,8.562472
9013854,Bremen Betriebshof Blumenthal,53.193581,8.56044
9013858,Bremen Falkenstraße,53.082733,8.806914
9014163,Bremen Rönnebecker Straße,53.185739,8.555946
9014015,Bremen Krefelder Straße,53.071128,8.929917
9014019,Bremen Krimpelweg,53.043223,8.816081
9013804,Bremen Bürgerpark,53.086686,8.818236
