stop_name,stop_lat,stop_lon,current_time,current_date,daytime
Bremen Machandelweg,53.188245,8.629329,02:44:51,2024-02-16,night
Bremen Am Sodenmatt,53.045803,8.718782,02:44:51,2024-02-16,night
Bremen-Blumenthal Markt,53.181419,8.573693,02:44:51,2024-02-16,night
Bremen Borchsholt,53.18305,8.634595,02:44:51,2024-02-16,night
Bremen Kurt-Huber-Straße,53.078187,8.911485,02:44:51,2024-02-16,night
Bremen Am Hallacker,53.068003,8.933838,02:44:51,2024-02-16,night
Bremen Am Kapellenberg,53.164231,8.666018,02:44:51,2024-02-16,night
Bremen Bahnhof Farge,53.205563,8.518154,02:44:51,2024-02-16,night
Bremen Blumenhorster Straße,53.184611,8.604506,02:44:51,2024-02-16,night
Bremen Upsalastraße,53.176795,8.717168,02:44:51,2024-02-16,night
Bremen Weserwehr,53.063491,8.867964,02:44:51,2024-02-16,night
Bremen Bei den Drei Pfählen,53.07121,8.85063,02:44:51,2024-02-16,night
Bremen Höpkens Ruh,53.09323,8.933031,02:44:51,2024-02-16,night
Bremen Umspannwerk,53.107559,8.817532,02:44:51,2024-02-16,night
Bremen Trinidadstraße,53.060028,8.893732,02:44:51,2024-02-16,night
Bremen Werrahafen,53.051821,8.882936,02:44:51,2024-02-16,night
Bremen Karl-Carstens-Brücke,53.054136,8.851033,02:44:51,2024-02-16,night
Bremen Am Heiddamm,53.081534,8.939615,02:44:51,2024-02-16,night
Bremen Am Heidbergstift,53.173944,8.697446,02:44:51,2024-02-16,night
Bremen Willakedamm,53.04704,8.738244,02:44:51,2024-02-16,night
Bremen Wilhelm-Röntgen-Straße,53.099801,8.886046,02:44:51,2024-02-16,night
Bremen Wilhelm-Leuschner-Straße,53.079041,8.885502,02:44:51,2024-02-16,night
Bremen Georg-Gries-Straße,53.071526,8.891394,02:44:51,2024-02-16,night
Bremen Georg-Bitter-Straße,53.067212,8.854328,02:44:51,2024-02-16,night
Bremen Gemeinschaftszentrum Obervieland,53.033976,8.830721,02:44:51,2024-02-16,night
Bremen Apfelallee,53.100023,8.902449,02:44:51,2024-02-16,night
Bremen Anna-Stiegler-Straße,53.040765,8.828041,02:44:51,2024-02-16,night
Bremen An der Kämenade,53.059407,8.923097,02:44:51,2024-02-16,night
Bremen Arberger Hafendamm,53.048331,8.883638,02:44:51,2024-02-16,night
Bremen Beckers Barg,53.167736,8.709153,02:44:51,2024-02-16,night
Bremen Bayernstraße,53.10645,8.795886,02:44:51,2024-02-16,night
Bremen Barbarossastraße,53.079089,8.86074,02:44:51,2024-02-16,night
Bremen Am Stern,53.084252,8.825747,02:44:51,2024-02-16,night
Bremen An der Amtsweide,53.192782,8.534216,02:44:51,2024-02-16,night
Bremen Ricardostraße,53.043253,8.970069,02:44:51,2024-02-16,night
Bremen Rhododendronpark,53.090421,8.883697,02:44:51,2024-02-16,night
Bremen Rennplatz,53.07149,8.886515,02:44:51,2024-02-16,night
Bremen Aumunder Kirche,53.174872,8.624136,02:44:51,2024-02-16,night
Bremen August-Bebel-Allee,53.085724,8.873569,02:44:51,2024-02-16,night
Bremen Schorf,53.098408,8.892991,02:44:51,2024-02-16,night
Bremen Vorlöhnhorster Weg,53.190798,8.635381,02:44:51,2024-02-16,night
Bremen Von-Thünen-Straße Süd,53.039666,8.965659,02:44:51,2024-02-16,night
Bremen Von-Thünen-Straße Nord,53.046056,8.969888,02:44:51,2024-02-16,night
Bremen Vereinsstraße,53.176364,8.606265,02:44:51,2024-02-16,night
Bremen Von-Ossietzky-Straße,53.138126,8.723107,02:44:51,2024-02-16,night
Bremen Wilhelm-Busch-Weg,53.071391,8.906545,02:44:51,2024-02-16,night
Bremen Wilhelm-Brandhorst-Straße,53.207915,8.514131,02:44:51,2024-02-16,night
Bremen Wiener Straße,53.106152,8.845833,02:44:51,2024-02-16,night
Bremen Wetterungsweg,53.11197,8.820089,02:44:51,2024-02-16,night
Bremen Fürther Straße,53.099687,8.807555,02:44:51,2024-02-16,night
Bremen Friedrich-Stampfer-Straße,53.086218,8.891447,02:44:51,2024-02-16,night
Bremen An den Wühren,53.103655,8.902444,02:44:51,2024-02-16,night
Bremen Amselweg,53.108065,8.796979,02:44:51,2024-02-16,night
Bremen Allerkai,53.056754,8.877859,02:44:51,2024-02-16,night
Bremen Alfred-Faust-Straße,53.029962,8.823292,02:44:51,2024-02-16,night
Bremen Altenescher Straße,53.110403,8.769908,02:44:51,2024-02-16,night
Bremen Betonstraße,53.203363,8.524038,02:44:51,2024-02-16,night
Bremen Besanstraße,53.189418,8.566792,02:44:51,2024-02-16,night
Bremen Rekumer Siel,53.218184,8.509509,02:44:51,2024-02-16,night
Bremen Schneverdinger Straße,53.076633,8.880817,02:44:51,2024-02-16,night
Bremen Schlengstraße,53.049696,8.892448,02:44:51,2024-02-16,night
Bremen Schevemoorer Landstraße,53.077599,8.94024,02:44:51,2024-02-16,night
Bremen Sollingstraße,53.042111,8.9124,02:44:51,2024-02-16,night
Bremen Simon-Hermann-Post-Weg,53.090669,8.92496,02:44:51,2024-02-16,night
Bremen Sielwall,53.07075,8.82349,02:44:51,2024-02-16,night
Bremen Bahnhof Turnerstraße,53.193991,8.545544,02:44:51,2024-02-16,night
Bremen Stuttgarter Straße,53.097205,8.816292,02:44:51,2024-02-16,night
Bremen Dobbheide,53.191307,8.631397,02:44:51,2024-02-16,night
Bremen Dobbenweg,53.078669,8.826308,02:44:51,2024-02-16,night
Bremen Dithmarscher Freiheit,53.102444,8.799509,02:44:51,2024-02-16,night
Bremen Dillener Park,53.188391,8.547833,02:44:51,2024-02-16,night
Bremen Dohlenstraße,53.135314,8.73091,02:44:51,2024-02-16,night
Bremen Gravestraße,53.090592,8.911317,02:44:51,2024-02-16,night
Bremen Graubündener Straße,53.071396,8.949386,02:44:51,2024-02-16,night
Bremen Gröpelingen,53.120574,8.753003,02:44:51,2024-02-16,night
Bremen Bahnhof Walle,53.102536,8.785338,02:44:51,2024-02-16,night
Bremen Mercedes-Benz Tor 8,53.065007,8.914263,02:44:51,2024-02-16,night
