stop_name,stop_lat,stop_lon,Haltestelle,currentSpeed,freeFlowSpeed
Bremen Von-Ossietzky-Straße,53.138126,8.723107,Bremen Von-Ossietzky-Straße,21.0,27.0
Bremen Wilhelm-Busch-Weg,53.071391,8.906545,Bremen Wilhelm-Busch-Weg,50.0,50.0
Bremen Wilhelm-Brandhorst-Straße,53.207915,8.514131,Bremen Wilhelm-Brandhorst-Straße,50.0,50.0
Bremen Wiener Straße,53.106152,8.845833,Bremen Wiener Straße,28.0,40.0
Bremen Wetterungsweg,53.11197,8.820089,Bremen Wetterungsweg,52.0,52.0
Bremen Fürther Straße,53.099687,8.807555,Bremen Fürther Straße,25.0,37.0
Bremen Friedrich-Stampfer-Straße,53.086218,8.891447,Bremen Friedrich-Stampfer-Straße,29.0,39.0
Bremen An den Wühren,53.103655,8.902444,Bremen An den Wühren,39.0,39.0
Bremen Alfred-Faust-Straße,53.029962,8.823292,Bremen Alfred-Faust-Straße,31.0,38.0
Bremen Altenescher Straße,53.110403,8.769908,Bremen Altenescher Straße,21.0,34.0
Bremen Betonstraße,53.203363,8.524038,Bremen Betonstraße,36.0,50.0
Bremen Besanstraße,53.189418,8.566792,Bremen Besanstraße,28.0,35.0
Bremen Rekumer Siel,53.218184,8.509509,Bremen Rekumer Siel,49.0,49.0
Bremen Schlengstraße,53.049696,8.892448,Bremen Schlengstraße,19.0,32.0
Bremen Schevemoorer Landstraße,53.077599,8.94024,Bremen Schevemoorer Landstraße,27.0,43.0
Bremen Sollingstraße,53.042111,8.9124,Bremen Sollingstraße,43.0,43.0
Bremen Simon-Hermann-Post-Weg,53.090669,8.92496,Bremen Simon-Hermann-Post-Weg,48.0,48.0
Bremen Sielwall,53.07075,8.82349,Bremen Sielwall,17.0,25.0
Bremen Bahnhof Turnerstraße,53.193991,8.545544,Bremen Bahnhof Turnerstraße,36.0,36.0
Bremen Stuttgarter Straße,53.097205,8.816292,Bremen Stuttgarter Straße,39.0,39.0
Bremen Dobbheide,53.191307,8.631397,Bremen Dobbheide,28.0,40.0
Bremen Dobbenweg,53.078669,8.826308,Bremen Dobbenweg,20.0,39.0
Bremen Dithmarscher Freiheit,53.102444,8.799509,Bremen Dithmarscher Freiheit,30.0,68.0
Bremen Dillener Park,53.188391,8.547833,Bremen Dillener Park,36.0,51.0
Bremen Dohlenstraße,53.135314,8.73091,Bremen Dohlenstraße,34.0,48.0
Bremen Graubündener Straße,53.071396,8.949386,Bremen Graubündener Straße,36.0,36.0
Bremen Gröpelingen,53.120574,8.753003,Bremen Gröpelingen,21.0,31.0
Bremen Bahnhof Walle,53.102536,8.785338,Bremen Bahnhof Walle,7.0,16.0
