stop_lat,stop_lon,Haltestelle,currentSpeed,freeFlowSpeed,Verkehrsauslastung in %
53.135314,8.73091,Bremen Dohlenstraße,48.0,48.0,0.0
53.071396,8.949386,Bremen Graubündener Straße,36.0,36.0,0.0
53.120574,8.753003,Bremen Gröpelingen,35.0,35.0,0.0
53.102536,8.785338,Bremen Bahnhof Walle,17.0,17.0,0.0
53.065007,8.914263,Bremen Mercedes-Benz Tor 8,34.0,47.0,0.2766
53.16061,8.704381,Bremen-Burg(Bus),31.0,44.0,0.2955
53.071445,8.863627,Bremen Steubenstraße,16.0,16.0,0.0
53.078614,8.903285,Bremen Dietrich-Bonhoeffer-Straße,28.0,33.0,0.1515
53.055964,8.888368,Bremen Glockenstraße/Bf Hemelingen,27.0,36.0,0.25
53.062116,8.801724,Bremen Gottfried-Menken-Straße,21.0,37.0,0.4324
53.074913,8.925897,Bremen Mülheimer Straße,120.0,120.0,0.0
53.193711,8.566023,Bremen An der Lehmkuhle,31.0,41.0,0.2439
53.089905,8.93411,Bremen Mühlenfeldstraße,36.0,36.0,0.0
53.103608,8.855622,Bremen Lise-Meitner-Straße,33.0,47.0,0.2979
53.089206,8.900648,Bremen Achterdiek,33.0,33.0,0.0
53.10478,8.840919,Bremen Munte,39.0,49.0,0.2041
53.038759,8.832342,Bremen Agnes-Heineken-Straße,30.0,42.0,0.2857
53.079384,8.893002,Bremen Berliner Freiheit,27.0,33.0,0.1818
53.09658,8.909506,Bremen Beim Kleinen Tagwerk,48.0,48.0,0.0
53.051383,8.949641,Bremen Beim Bohnenhof,37.0,44.0,0.1591
53.102639,8.859212,Bremen Berufsbildungswerk,24.0,33.0,0.2727
53.219785,8.589594,Schwanewede Insterburger Weg,49.0,49.0,0.0
53.197066,8.571969,Bremen Landrat-Berthold-Straße,40.0,50.0,0.2
53.207153,8.578497,Bremen Ringofenstraße,40.0,50.0,0.2
53.17999,8.588774,Bremen Wätjens Park,55.0,55.0,0.0
53.175321,8.612803,Bremen Fährgrund,28.0,42.0,0.3333
53.177414,8.601612,Bremen Bremer Vulkan,23.0,45.0,0.4889
53.169621,8.627897,Bremen Bahnhof Vegesack,38.0,46.0,0.1739
53.037688,8.851272,Bremen Senator-Theil-Straße,33.0,40.0,0.175
53.054889,8.814727,Bremen Stenumer Straße,23.0,36.0,0.3611
53.071641,8.882724,Bremen Stellichter Straße,21.0,29.0,0.2759
53.089179,8.892313,Bremen Deliusweg,112.0,112.0,0.0
53.043866,8.723196,Bremen Delfter Straße,10.0,13.0,0.2308
53.057474,8.954588,Bremen Egestorff-Stiftung,33.0,41.0,0.1951
53.073339,8.930294,Bremen Düsseldorfer Straße,34.0,46.0,0.2609
53.131649,8.722021,Bremen Hüttenhafen,52.0,52.0,0.0
53.191589,8.561986,Bremen Eggestedter Straße,37.0,46.0,0.1957
53.090284,8.813487,Bremen Findorffallee,22.0,29.0,0.2414
53.051538,8.839582,Bremen Fellendsweg,35.0,43.0,0.186
53.199224,8.526993,Bremen Fähre Farge,46.0,56.0,0.1786
53.02783,8.818821,Bremen Morsumer Straße,30.0,39.0,0.2308
53.147399,8.711405,Bremen Am Geestkamp,37.0,45.0,0.1778
53.129774,8.743113,Bremen Am Fuchsberg,29.0,48.0,0.3958
53.074036,8.875811,Bremen Müdener Straße,21.0,29.0,0.2759
53.048153,8.950356,Bremen Am Großen Kuhkamp,37.0,44.0,0.1591
53.198973,8.5539,Bremen Am Fillerkamp,38.0,38.0,0.0
53.043,8.824685,Bremen Robert-Koch-Straße,30.0,42.0,0.2857
53.072382,8.816868,Bremen Theater am Goetheplatz,14.0,22.0,0.3636
53.046294,8.957571,Bremen Weserpark-Süd,33.0,47.0,0.2979
53.088125,8.808212,Bremen Theodor-Heuss-Allee,22.0,27.0,0.1852
53.165632,8.67699,Bremen Knoops Park,36.0,46.0,0.2174
53.038307,8.939628,Bremen Kluvenhagener Straße,28.0,45.0,0.3778
53.040635,8.883995,Bremen Kleine Marschstraße,50.0,50.0,0.0
53.039767,8.908775,Bremen Süntelstraße,21.0,46.0,0.5435
53.11064,8.854691,Bremen Universität-Nord,52.0,52.0,0.0
53.035323,8.826916,Bremen Kattenturm-Mitte,28.0,39.0,0.2821
53.083948,8.797781,Bremen Doventor,12.0,20.0,0.4
53.059135,8.778001,Bremen Dortmunder Straße,44.0,44.0,0.0
53.184281,8.613111,Bremen Fährer Kämpe,29.0,44.0,0.3409
53.183148,8.562472,Bremen Fähre Blumenthal,38.0,50.0,0.24
53.193581,8.56044,Bremen Betriebshof Blumenthal,37.0,47.0,0.2128
53.185739,8.555946,Bremen Rönnebecker Straße,24.0,39.0,0.3846
53.071128,8.929917,Bremen Krefelder Straße,42.0,42.0,0.0
53.043223,8.816081,Bremen Krimpelweg,29.0,50.0,0.42
53.169682,8.712631,Bremen Burgdammer Ring,47.0,47.0,0.0
53.075347,8.844205,Bremen Friedrich-Karl-Straße,30.0,38.0,0.2105
53.050376,8.828599,Bremen Friedhof Huckelriede,37.0,37.0,0.0
53.129117,8.711446,Bremen Riespot,52.0,52.0,0.0
53.135024,8.715458,Bremen Riedemannstraße,52.0,52.0,0.0
53.066199,8.943872,Bremen Klinikum Bremen-Ost,31.0,40.0,0.225
53.155015,8.70459,Bremen Burger Dorfstraße,37.0,45.0,0.1778
53.044354,8.897381,Bremen Brünsweg,22.0,38.0,0.4211
53.18387,8.573123,Bremen Fresenbergstraße,29.0,34.0,0.1471
53.038981,8.728576,Bremen Friedhof Huchting,36.0,36.0,0.0
53.225303,8.510034,Bremen Sandkuhlenweg,53.0,53.0,0.0
53.039052,8.932274,Bremen Hermann-Osterloh-Straße,43.0,43.0,0.0
53.071088,8.916126,Bremen Hermann-Koenen-Straße,31.0,43.0,0.2791
53.033495,8.850653,Bremen Hermann-Helms-Straße,33.0,40.0,0.175
53.082128,8.867423,Bremen Brandenburger Straße,57.0,57.0,0.0
53.072248,8.82864,Bremen Brunnenstraße,14.0,22.0,0.3636
53.044297,8.922371,Bremen Ruppertshainer Straße,43.0,43.0,0.0
53.040909,8.731048,Bremen Rotterdamer Straße,25.0,42.0,0.4048
53.173313,8.688119,Bremen Rotdornallee,76.0,76.0,0.0
53.059599,8.90939,Bremen Saarstraße,33.0,33.0,0.0
53.090874,8.805639,Bremen Herbststraße,21.0,34.0,0.3824
53.188459,8.640607,Bremen Herbartstraße,24.0,36.0,0.3333
53.183616,8.595786,Bremen Bf Klinikum Bremen-Nord,35.0,35.0,0.0
53.042473,8.961146,Bremen Panrepel-Süd,32.0,48.0,0.3333
53.045949,8.965827,Bremen Panrepel-Nord,23.0,40.0,0.425
53.086101,8.886604,Bremen Otto-Braun-Straße,30.0,39.0,0.2308
53.099188,8.837012,Bremen Parkallee,39.0,49.0,0.2041
53.044809,8.736153,Bremen Hohenhorster Weg,25.0,42.0,0.4048
53.103246,8.794121,Bremen Holsteiner Straße,26.0,37.0,0.2973
53.196601,8.549472,Bremen Ermlandstraße,36.0,36.0,0.0
53.038246,8.925009,Bremen Colshornstraße,42.0,42.0,0.0
53.099087,8.921967,Bremen Im Holze,36.0,45.0,0.2
53.071527,8.902785,Bremen Im Holter Feld,50.0,50.0,0.0
53.055035,8.739491,Bremen Carl-Hurtzig-Straße,35.0,51.0,0.3137
53.079302,8.896774,Bremen Carl-Goerdeler-Straße,35.0,35.0,0.0
53.115035,8.833152,Bremen Campingplatz,52.0,52.0,0.0
53.054497,8.894109,Bremen Christernstraße,30.0,34.0,0.1176
53.071947,8.920571,Bremen Bottroper Straße,42.0,42.0,0.0
53.045739,8.844893,Bremen Borgwardstraße,35.0,45.0,0.2222
53.124857,8.7489,Bremen Karl-Bröger-Straße,25.0,35.0,0.2857
53.167455,8.685111,Bremen Auf dem Pasch,36.0,46.0,0.2174
53.173164,8.640018,Bremen Auf dem Krümpel,30.0,45.0,0.3333
53.178477,8.624792,Bremen Ascherfeld,35.0,46.0,0.2391
53.052712,8.8993,Bremen Osterhop,29.0,29.0,0.0
53.074053,8.936052,Bremen Osterholzer Landstraße,33.0,42.0,0.2143
53.21337,8.511061,Bremen Hohenesch,35.0,49.0,0.2857
53.065226,8.932828,Bremen Poggenburg,25.0,35.0,0.2857
53.041519,8.850432,Bremen Piependamm,33.0,40.0,0.175
53.055731,8.884861,Bremen Hannoversche Straße,36.0,36.0,0.0
53.191441,8.53842,Bremen Hanfstraße,30.0,51.0,0.4118
53.189758,8.571367,Bremen Hakenwehrstraße,36.0,36.0,0.0
53.091659,8.791314,Bremen Hansestraße,23.0,32.0,0.2812
53.079174,8.878882,Bremen Polizeipräsidium,27.0,33.0,0.1818
53.050944,8.836268,Bremen Helene-Lange-Straße,35.0,43.0,0.186
53.101114,8.916252,Bremen Kapitän-König-Weg,36.0,45.0,0.2
53.030817,8.850603,Bremen Arster Kirche,33.0,40.0,0.175
53.078505,8.855109,Bremen Arensburgstraße,28.0,43.0,0.3488
53.186622,8.572564,Bremen Wasserturm,29.0,34.0,0.1471
53.096293,8.819184,Bremen Weidedamm-Süd,39.0,39.0,0.0
53.039086,8.834853,Bremen Bruchhauser Straße,32.0,43.0,0.2558
53.051804,8.819524,Bremen Huckelriede,20.0,20.0,0.0
53.059,8.80887,Bremen Willigstraße,20.0,38.0,0.4737
53.060767,8.804383,Bremen August-Hinrichs-Straße,20.0,38.0,0.4737
53.028031,8.849956,Bremen Arster Landstraße,33.0,40.0,0.175
53.105197,8.850888,Bremen Universität-Süd,32.0,46.0,0.3043
53.046718,8.818351,Bremen Arsterdamm,30.0,41.0,0.2683
53.057678,8.728489,Bremen Harriersand,36.0,52.0,0.3077
53.056144,8.716162,Bremen Brüsseler Straße,11.0,13.0,0.1538
53.178579,8.724093,Bremen Marßel,57.0,57.0,0.0
53.062863,8.913942,Bremen Mercedes-Benz Tor 7,31.0,43.0,0.2791
53.048336,8.741268,Bremen Roland-Center,28.0,42.0,0.3333
53.085865,8.879448,Bremen Philipp-Scheidemann-Straße,29.0,35.0,0.1714
53.050319,8.847649,Bremen Habenhauser Brückenstraße,38.0,47.0,0.1915
53.098533,8.776565,Bremen Waller Ring,34.0,48.0,0.2917
53.047316,8.892916,Bremen Marschstraße,30.0,41.0,0.2683
53.045353,8.851022,Bremen Pfarrfeldsweg,33.0,40.0,0.175
53.066796,8.96154,Bremen Neuwieder Straße,23.0,40.0,0.425
53.058464,8.758757,Bremen Norderländer Straße,51.0,51.0,0.0
53.039044,8.916285,Bremen Heisiusstraße,42.0,42.0,0.0
53.082918,8.874987,Bremen Heinrich-Hertz-Straße,40.0,40.0,0.0
53.053487,8.953382,Bremen Heiligenbergstraße,39.0,44.0,0.1136
53.178584,8.71919,Bremen Helsingborger Straße,57.0,57.0,0.0
