StartDate,Aktuelle Uhrzeit,Wochentag,Feiertag,Startzeit an der Anfangshaltestelle,Linie,Anzahl Haltestellen,Richtung,Anzahl Baustellen,Haltestelle,StopSequence,Ankunftsverspaetung in Sek.,Abfahrtsverspaetung in Sek.
2024-02-03,20:12:28,Saturday,0,19:26:00,25,39.0,Osterholz,1.0,Bremen Julius-Brecht-Allee,24.0,199,199
2024-02-03,20:12:28,Saturday,0,19:26:00,25,39.0,Osterholz,1.0,Bremen Müdener Straße,25.0,166,166
2024-02-03,20:12:28,Saturday,0,19:26:00,25,39.0,Osterholz,1.0,Bremen Wilseder-Berg-Straße,26.0,169,169
2024-02-03,20:12:28,Saturday,0,19:26:00,25,39.0,Osterholz,1.0,Bremen Georg-Gries-Straße,29.0,139,139
2024-02-03,20:12:28,Saturday,0,19:26:00,25,39.0,Osterholz,1.0,Bremen Bottroper Straße,33.0,109,109
2024-02-03,20:12:28,Saturday,0,19:26:00,25,39.0,Osterholz,1.0,Bremen Einkaufszentrum Blockdiek,34.0,139,139
2024-02-03,20:12:28,Saturday,0,19:19:00,25,39.0,Weidedamm-Süd,1.0,Bremen Schweizer Eck,,0,0
2024-02-03,20:12:28,Saturday,0,19:19:00,25,39.0,Weidedamm-Süd,1.0,Bremen Klinikum Bremen-Ost,1.0,35,35
2024-02-03,20:12:28,Saturday,0,19:19:00,25,39.0,Weidedamm-Süd,1.0,Bremen Grenzwehr,2.0,47,47
2024-02-03,20:12:28,Saturday,0,19:19:00,25,39.0,Weidedamm-Süd,1.0,Bremen Emmentaler Straße,3.0,72,72
2024-02-03,20:12:28,Saturday,0,19:19:00,25,39.0,Weidedamm-Süd,1.0,Bremen Bottroper Straße,6.0,30,30
2024-02-03,20:12:28,Saturday,0,19:19:00,25,39.0,Weidedamm-Süd,1.0,Bremen Im Holter Feld,9.0,0,0
2024-02-03,20:12:28,Saturday,0,19:19:00,25,39.0,Weidedamm-Süd,1.0,Bremen Georg-Gries-Straße,10.0,61,61
2024-02-03,20:12:28,Saturday,0,19:19:00,25,39.0,Weidedamm-Süd,1.0,Bremen Rennplatz,11.0,28,28
2024-02-03,20:12:28,Saturday,0,19:19:00,25,39.0,Weidedamm-Süd,1.0,Bremen Stellichter Straße,12.0,57,57
2024-02-03,20:12:28,Saturday,0,19:19:00,25,39.0,Weidedamm-Süd,1.0,Bremen Stresemannstraße,17.0,97,97
2024-02-03,20:12:28,Saturday,0,19:19:00,25,39.0,Weidedamm-Süd,1.0,Bremen Stader Straße/Bismarckstraße,18.0,152,152
2024-02-03,20:12:28,Saturday,0,19:19:00,25,39.0,Weidedamm-Süd,1.0,Bremen Klinikum Bremen-Mitte,20.0,112,112
2024-02-03,20:12:28,Saturday,0,19:19:00,25,39.0,Weidedamm-Süd,1.0,Bremen Dobbenweg,21.0,52,52
2024-02-03,20:12:28,Saturday,0,19:19:00,25,39.0,Weidedamm-Süd,1.0,Bremen Rembertistraße,22.0,96,96
2024-02-03,20:12:28,Saturday,0,19:19:00,25,39.0,Weidedamm-Süd,1.0,Bremen Hauptbahnhof,23.0,11,76
2024-02-03,20:12:28,Saturday,0,19:19:00,25,39.0,Weidedamm-Süd,1.0,Bremen Herdentor,24.0,122,122
2024-02-03,20:12:28,Saturday,0,19:19:00,25,39.0,Weidedamm-Süd,1.0,Bremen Schüsselkorb,25.0,152,152
2024-02-03,20:12:28,Saturday,0,20:06:00,25,39.0,Osterholz,1.0,Bremen Weidedamm-Süd,,0,0
2024-02-03,20:12:28,Saturday,0,20:06:00,25,39.0,Osterholz,1.0,Bremen Stuttgarter Straße,1.0,3,3
2024-02-03,20:12:28,Saturday,0,20:06:00,25,39.0,Osterholz,1.0,Bremen Utbremer Ring,2.0,63,63
2024-02-03,20:12:28,Saturday,0,20:06:00,25,39.0,Osterholz,1.0,Bremen Fürther Straße,3.0,31,31
2024-02-03,20:12:28,Saturday,0,20:06:00,25,39.0,Osterholz,1.0,Bremen Hemmstraße,4.0,-1,0
2024-02-03,20:12:28,Saturday,0,20:06:00,25,39.0,Osterholz,1.0,Bremen Lohmannstraße,5.0,10,10
2024-02-03,20:12:28,Saturday,0,20:06:00,25,39.0,Osterholz,1.0,Bremen Hauptbahnhof,16.0,10,0
2024-02-03,20:12:28,Saturday,0,20:06:00,25,39.0,Osterholz,1.0,Bremen Bottroper Straße,33.0,-30,-30
2024-02-03,20:12:28,Saturday,0,20:06:00,25,39.0,Osterholz,1.0,Bremen Einkaufszentrum Blockdiek,34.0,0,0
2024-02-03,20:12:28,Saturday,0,19:46:00,25,39.0,Osterholz,1.0,Bremen Weidedamm-Süd,,0,0
2024-02-03,20:12:28,Saturday,0,19:46:00,25,39.0,Osterholz,1.0,Bremen Stuttgarter Straße,1.0,16,16
2024-02-03,20:12:28,Saturday,0,19:46:00,25,39.0,Osterholz,1.0,Bremen Utbremer Ring,2.0,79,79
2024-02-03,20:12:28,Saturday,0,19:46:00,25,39.0,Osterholz,1.0,Bremen Lohmannstraße,5.0,60,60
2024-02-03,20:12:28,Saturday,0,19:46:00,25,39.0,Osterholz,1.0,Bremen Daniel-von-Büren-Straße,8.0,167,167
2024-02-03,20:12:28,Saturday,0,19:46:00,25,39.0,Osterholz,1.0,Bremen Radio Bremen/VHS,10.0,134,134
2024-02-03,20:12:28,Saturday,0,19:46:00,25,39.0,Osterholz,1.0,Bremen Martinistraße,12.0,164,164
2024-02-03,20:12:28,Saturday,0,19:46:00,25,39.0,Osterholz,1.0,Bremen Domsheide,13.0,87,87
2024-02-03,20:12:28,Saturday,0,19:46:00,25,39.0,Osterholz,1.0,Bremen Schüsselkorb,14.0,126,126
2024-02-03,20:12:28,Saturday,0,19:46:00,25,39.0,Osterholz,1.0,Bremen Herdentor,15.0,173,173
2024-02-03,20:12:28,Saturday,0,19:46:00,25,39.0,Osterholz,1.0,Bremen Hauptbahnhof,16.0,173,23
